hour,year,num_crashes
0,2009,10
0,2010,9
0,2011,13
0,2012,7
0,2013,12
0,2014,4
0,2015,14
0,2016,13
0,2017,7
0,2018,7
1,2009,9
1,2010,9
1,2011,6
1,2012,11
1,2013,7
1,2014,11
1,2015,5
1,2016,9
1,2017,5
1,2018,9
2,2009,2
2,2010,11
2,2011,10
2,2012,18
2,2013,9
2,2014,8
2,2015,4
2,2016,7
2,2017,7
2,2018,10
3,2009,5
3,2010,3
3,2011,4
3,2012,6
3,2013,7
3,2014,5
3,2015,3
3,2016,4
3,2017,4
3,2018,3
4,2009,5
4,2010,4
4,2011,6
4,2012,5
4,2013,2
4,2014,7
4,2015,6
4,2016,3
4,2017,4
4,2018,3
5,2009,5
5,2010,1
5,2011,4
5,2012,5
5,2013,3
5,2014,4
5,2015,7
5,2016,2
5,2017,3
5,2018,5
6,2009,2
6,2010,5
6,2011,6
6,2012,7
6,2013,5
6,2014,3
6,2015,4
6,2016,8
6,2017,4
6,2018,4
7,2009,6
7,2010,6
7,2011,7
7,2012,4
7,2013,5
7,2014,2
7,2015,5
7,2016,7
7,2017,6
7,2018,5
8,2009,6
8,2010,3
8,2011,3
8,2012,5
8,2013,4
8,2014,6
8,2015,11
8,2016,1
8,2017,0
8,2018,6
9,2009,3
9,2010,3
9,2011,6
9,2012,3
9,2013,3
9,2014,4
9,2015,6
9,2016,3
9,2017,6
9,2018,5
10,2009,10
10,2010,8
10,2011,3
10,2012,7
10,2013,10
10,2014,10
10,2015,3
10,2016,6
10,2017,5
10,2018,7
11,2009,4
11,2010,5
11,2011,7
11,2012,5
11,2013,8
11,2014,5
11,2015,7
11,2016,5
11,2017,7
11,2018,5
12,2009,11
12,2010,4
12,2011,12
12,2012,6
12,2013,7
12,2014,4
12,2015,9
12,2016,5
12,2017,9
12,2018,5
13,2009,15
13,2010,6
13,2011,13
13,2012,5
13,2013,14
13,2014,9
13,2015,8
13,2016,10
13,2017,11
13,2018,7
14,2009,3
14,2010,8
14,2011,8
14,2012,9
14,2013,13
14,2014,5
14,2015,11
14,2016,8
14,2017,15
14,2018,9
15,2009,11
15,2010,10
15,2011,6
15,2012,8
15,2013,11
15,2014,8
15,2015,13
15,2016,13
15,2017,8
15,2018,13
16,2009,12
16,2010,5
16,2011,10
16,2012,11
16,2013,16
16,2014,13
16,2015,10
16,2016,12
16,2017,10
16,2018,7
17,2009,10
17,2010,13
17,2011,12
17,2012,12
17,2013,6
17,2014,11
17,2015,16
17,2016,7
17,2017,8
17,2018,8
18,2009,12
18,2010,8
18,2011,6
18,2012,13
18,2013,6
18,2014,11
18,2015,14
18,2016,14
18,2017,8
18,2018,11
19,2009,12
19,2010,7
19,2011,8
19,2012,8
19,2013,9
19,2014,12
19,2015,8
19,2016,8
19,2017,10
19,2018,10
20,2009,11
20,2010,6
20,2011,14
20,2012,12
20,2013,11
20,2014,12
20,2015,13
20,2016,7
20,2017,5
20,2018,8
21,2009,17
21,2010,16
21,2011,11
21,2012,7
21,2013,15
21,2014,10
21,2015,6
21,2016,13
21,2017,7
21,2018,10
22,2009,5
22,2010,8
22,2011,4
22,2012,7
22,2013,13
22,2014,5
22,2015,12
22,2016,6
22,2017,12
22,2018,7
23,2009,11
23,2010,6
23,2011,8
23,2012,10
23,2013,7
23,2014,7
23,2015,8
23,2016,2
23,2017,6
23,2018,4
